,id,text,label
0,1378212405470240771,current day rolling average exactly year ago new cases day third city received first vaccine dose slow roll nyc day average last april not good neighbors continued fail us elected officials still formal timeline adults nys eligible vaccines,pro
1,1378170862151598080,racist nyc demands papers order get vaccine literally fascism,anti
2,1272934425601466371,orange dictator said companies competing create coronavirus vaccine not good thing could handled beginning boasting competition amongst companies money sad,neutral
3,1357599878390677506,coronavirus update new york city chinatown businesses fighting survive pandemic,neutral
4,1357555015095709698,coming soon vaccine passport via covid vaccination,neutral
5,1369434399717068800,new feature alert can use live subway map find vaccination site locations nyc simply tap icon show vaccine site locations contact info check,pro
6,1356564797609943046,unsinkable anna smith gets covid vaccine jab vancouver thejohnfleming blog bronx manhattan statenisland queens brooklyn washingtondc sanfrancisco losangeles nyc juba django pune uk brixton claphamtown hernehill dulwich,pro
7,1330261040064507910,wait created vaccine month earth mil ready ship quick maybe retained information wrong,neutral
8,1330194504633233415,getting flu vaccine important covid pandemic continues although flu vaccine not prevent covid help decrease risk family getting sick needing care find flu shots area,pro
9,1346875853045604352,put timothee chalamet charge distributing vaccine make sure nyc gets,pro
10,1346870507732422659,put timothee chalamet charge distributing vaccine make sure nyc gets,neutral
11,1377255330648743941,good way start day positive trial findings kids age much higher antibody levels age yr olds infections vs placebo vaccine respectively w angie_rasmussen,pro
12,1351613153793069056,bill de blasio says nyc run covid vaccine friday boy blunder gotham city strikes goddam moron,neutral
13,1351605754067787776,feel forsaken f cked monster ensured enough vaccines people nyc one hospital know cancel patient appointments vaccines need supply healthcare workers can wait biden,pro
14,1354514594023223299,sorry dumb question current vaccine distributed states per capita way words increasing assume looks different dakotas versus texas not see says pm already hit limit patience mansplaining today,neutral
15,1354507861083250694,remember allegations rick bright scientist fired barda made new report says right hhs officials misappropriated millions intended vaccine research emergency preparedness,neutral
16,1348195217044889600,many folks apprehensive taking vaccines rump still prez damage breaks trusts man amounting daily gets worse worse minions hateful loyalists dropping shit bombs place trumpcrimesyndicate resign,neutral
17,1348139620861665285,vaccine extremely safe beneficial message amp talk detail nyc fire ems pd personnel even zoom session battalions precincts q amp signed nyc ed doc amp former paramedic,pro
18,1348131467214336001,new york city vaccinated people less month new york city vaccinated less people days,pro
19,1348120950227742720,editorial part today cover package single day israel immunizes people covid new york city total since receiving first vaccine shipment dec problem less supply stupidity,pro
20,1348120204795142145,editorial part today cover package single day israel immunizes people covid new york city total since receiving first vaccine shipment dec problem less supply stupidity,neutral
21,1348092009421029376,new york city vaccinated people less month new york city vaccinated less people days,pro
22,1365059990910889986,monday march st pm est client kent swig president swig equities rd generation patriarch familyoffice set back talk vaccine rollout politics comeback nyc much,neutral
23,1286068217069412353,fog war expression cloud unknown confusing new event not real war real misinformation war mask battle herd immunity battle without vaccine anti vaccine battle much dangerous cuz can killthe public never exposed war first place not sensationalized politicized manner not know fix broken media politicians fault scientists need aware happened,pro
24,1352648079460233216,another insane story workers wandering nyc streets looking people vaccinate not waste doses sprinting dark alleyway vaccination building back mind like scam via,neutral
25,1345516577517490176,learn nyc epic response smallpox outbreak visionary leadership israel weinstein health commissioner time,pro
26,1345515503083782147,april new york city faced terrifying smallpox outbreak days later city vaccinated million people need massively ramp covid vaccination can thread,pro
